strategy,symbol,n_trades,total_pnl_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_Ichimoku Cloud,LINK_USDT,1449,1921.92,40.4,0.309,0.107,0.123,-19.87,1.05,B_New
B_Volatility Breakout (TTM Squeeze),HBAR_USDT,381,1718.61,44.6,0.295,0.078,0.225,-10.81,1.18,B_New
A_MACD Momentum,LINK_USDT,3136,1523.35,34.5,0.292,0.157,0.11,-17.87,1.03,A_Original
B_Volatility Breakout (TTM Squeeze),APT_USDT,213,530.69,42.3,0.291,0.047,0.165,-8.92,1.11,B_New
B_Donchian Breakout,NEAR_USDT,462,1141.16,47.4,0.287,0.051,0.193,-10.2,1.07,B_New
A_MACD Momentum,DOT_USDT,2361,1079.85,35.2,0.284,0.16,0.203,-8.96,1.04,A_Original
A_Bollinger Band Reversion,SUI_USDT,399,447.26,66.7,0.281,0.036,0.127,-11.62,1.06,A_Original
B_VWAP Reversion,NEAR_USDT,2500,1104.38,68.0,0.277,0.054,0.128,-14.92,1.03,B_New
B_MTF SMA-200 Filter,XRP_USDT,3472,1898.31,23.0,0.276,0.14,0.1,-21.94,1.04,B_New
B_Donchian Breakout,LINK_USDT,578,1163.79,49.1,0.269,0.045,0.108,-14.11,1.07,B_New
A_RSI Mean Reversion,DOT_USDT,86,334.06,59.3,0.267,0.017,0.15,-3.85,1.17,A_Original
B_OFI Momentum,AVAX_USDT,1758,1184.07,43.5,0.262,0.088,0.136,-14.84,1.04,B_New
A_MACD Momentum,AVAX_USDT,2361,1106.3,35.3,0.259,0.145,0.154,-12.31,1.04,A_Original
B_Base RF Model,ICP_USDT,725,982.97,53.1,0.254,0.04,0.124,-15.41,1.05,B_New
B_Keltner Channel Breakout,LINK_USDT,946,1259.81,46.7,0.241,0.053,0.157,-10.46,1.05,B_New
A_RSI Mean Reversion,ATOM_USDT,103,383.66,52.4,0.236,0.017,0.102,-5.29,1.16,A_Original
A_Ensemble A (RSI+MACD+BB),DOGE_USDT,3500,982.08,35.9,0.234,0.114,0.084,-16.54,1.03,A_Original
A_Bollinger Band Reversion,SOL_USDT,762,719.8,62.6,0.229,0.03,0.12,-10.2,1.05,A_Original
B_Ichimoku Cloud,BTC_USDT,1775,1040.28,39.7,0.226,0.068,0.077,-14.84,1.04,B_New
A_Bollinger Band Reversion,LTC_USDT,1130,923.55,64.2,0.219,0.027,0.066,-16.01,1.05,A_Original
B_Keltner Channel Breakout,DOT_USDT,738,841.86,46.5,0.218,0.045,0.094,-15.22,1.04,B_New
A_Ensemble A (RSI+MACD+BB),AVAX_USDT,2865,774.37,38.1,0.218,0.098,0.075,-17.93,1.02,A_Original
B_GARCH Volatility Position Sizing,ICP_USDT,518,805.32,43.8,0.217,0.05,0.104,-15.03,1.05,B_New
A_Bollinger Band Reversion,DOT_USDT,816,689.29,64.5,0.216,0.026,0.11,-10.72,1.05,A_Original
