strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group,timeframe
B_MACD Centerline Cross + Divergence,BTC_USDT,3461,1012.1,4034.44,3022.35,47.0,0.27,0.085,0.051,-21.69,1.04,B_New,1h
A_RSI Mean Reversion,DOT_USDT,36,129.47,224.54,95.07,58.3,0.27,0.021,0.172,-3.49,1.16,A_Original,1h
B_Ichimoku Cloud,DOT_USDT,425,431.37,1288.13,856.75,38.6,0.265,0.113,0.202,-9.84,1.06,B_New,1h
B_Donchian Breakout,LINK_USDT,526,1036.18,1857.59,821.41,48.3,0.265,0.044,0.114,-13.16,1.07,B_New,1h
B_Base RF Model,UNI_USDT,313,372.02,1025.83,653.81,49.2,0.262,0.068,0.26,-6.61,1.06,B_New,1h
A_Bollinger Band Reversion,ICP_USDT,301,269.26,734.5,465.24,61.5,0.253,0.034,0.234,-5.34,1.05,A_Original,1h
B_OFI Momentum,DOGE_USDT,1893,1393.98,3182.42,1788.44,42.6,0.252,0.1,0.109,-19.29,1.05,B_New,1h
B_Keltner Channel Breakout,TRX_USDT,988,1047.64,2806.99,1759.36,43.0,0.25,0.057,0.095,-14.59,1.06,B_New,1h
B_VWAP Reversion,SOL_USDT,2513,916.06,3418.65,2502.59,61.0,0.243,0.055,0.085,-18.18,1.03,B_New,1h
B_MACD Centerline Cross + Divergence,ETH_USDT,3230,986.7,3883.57,2896.87,46.7,0.239,0.073,0.043,-27.08,1.03,B_New,1h
B_Donchian Breakout,XRP_USDT,441,914.37,1661.36,746.99,42.4,0.232,0.045,0.117,-9.39,1.1,B_New,1h
B_MTF SMA-200 Filter,APT_USDT,847,430.7,1810.94,1380.24,34.8,0.231,0.109,0.113,-17.59,1.03,B_New,1h
