strategy,symbol,n_trades,total_pnl_usdt,gross_pnl_usdt,total_fees_usdt,win_rate_pct,sharpe,sortino,calmar,max_drawdown_pct,profit_factor,group
B_MACD Centerline Cross + Divergence,BNB_USDT,3489,2530.63,5512.27,2981.64,47.6,0.473,0.165,0.173,-15.61,1.08,B_New
A_MACD Momentum,SHIB_USDT,2116,2009.38,3439.87,1430.49,37.6,0.464,0.191,0.281,-13.28,1.08,A_Original
B_Ichimoku Cloud,ETH_USDT,1748,3229.84,5805.56,2575.72,39.8,0.462,0.147,0.19,-17.14,1.08,B_New
A_MACD Momentum,BNB_USDT,3491,3028.54,6146.83,3118.29,38.3,0.459,0.207,0.257,-12.32,1.08,A_Original
A_RSI Mean Reversion,ICP_USDT,83,849.37,1011.27,161.9,56.6,0.445,0.029,0.31,-5.32,1.37,A_Original
B_Keltner Channel Breakout,DOGE_USDT,790,3020.75,4608.3,1587.55,43.4,0.441,0.095,0.376,-10.46,1.13,B_New
B_Elliott Wave + Base ML,ETH_USDT,840,2218.61,3391.13,1172.52,46.2,0.439,0.081,0.181,-12.83,1.12,B_New
B_Funding Rate Arb,NEAR_USDT,1,181.72,194.12,12.39,100.0,0.424,0.0,0.0,0.0,inf,B_New
B_Ichimoku Cloud,XRP_USDT,1588,3053.1,5582.26,2529.16,36.1,0.423,0.156,0.17,-19.89,1.08,B_New
B_Funding Rate Arb,SOL_USDT,1,31.52,41.74,10.22,100.0,0.418,0.0,0.0,0.0,inf,B_New
B_OU Mean-Reversion Entry,SOL_USDT,1,8.05,8.51,0.46,100.0,0.418,0.0,0.0,0.0,inf,B_New
B_Elliott Wave + Base ML,DOT_USDT,341,1484.95,2220.79,735.84,44.9,0.415,0.071,0.2,-12.29,1.14,B_New
B_Trend RF Model,NEAR_USDT,433,1709.82,2629.29,919.47,49.2,0.413,0.058,0.218,-13.23,1.12,B_New
B_OU Mean-Reversion Entry,XRP_USDT,2,30.45,31.05,0.6,100.0,0.411,0.0,0.0,0.0,inf,B_New
B_GARCH Volatility Position Sizing,TRX_USDT,989,2325.75,4542.03,2216.27,48.7,0.411,0.083,0.22,-12.22,1.12,B_New
B_VWAP Reversion,ICP_USDT,2262,1369.87,4001.61,2631.74,60.2,0.403,0.09,0.189,-13.79,1.05,B_New
A_Bollinger Band Reversion,SOL_USDT,804,1398.9,2550.89,1151.99,61.7,0.396,0.054,0.266,-8.69,1.09,A_Original
B_Donchian Breakout,ETH_USDT,540,1789.11,2591.62,802.51,47.0,0.389,0.055,0.199,-9.58,1.13,B_New
B_OU Mean-Reversion Entry,BTC_USDT,5,49.52,51.02,1.51,80.0,0.385,0.0,0.621,-0.09,6.4,B_New
A_MACD Momentum,ETH_USDT,3536,2117.58,5577.01,3459.43,36.8,0.38,0.158,0.113,-19.8,1.05,A_Original
B_Funding Rate Arb,SUI_USDT,2,71.44,100.13,28.68,50.0,0.379,0.0,0.73,-0.32,3.18,B_New
B_Elliott Wave + Base ML,BTC_USDT,739,1430.79,2241.38,810.59,48.0,0.377,0.07,0.089,-17.3,1.1,B_New
B_Volatility Breakout (TTM Squeeze),APT_USDT,217,694.9,1593.39,898.48,43.8,0.377,0.063,0.203,-9.41,1.14,B_New
"B_SuperTrend (ATR×3, 10)",AVAX_USDT,627,1396.96,2586.34,1189.39,40.7,0.374,0.094,0.176,-13.4,1.09,B_New
"B_SuperTrend (ATR×3, 10)",ETH_USDT,946,1756.66,3000.52,1243.86,36.9,0.37,0.101,0.093,-20.26,1.09,B_New
B_Trend RF Model,DOT_USDT,422,1314.24,2240.58,926.34,49.5,0.364,0.047,0.16,-13.64,1.11,B_New
B_Base RF Model,ATOM_USDT,985,1914.14,3922.45,2008.31,48.2,0.355,0.072,0.105,-24.14,1.06,B_New
B_Futures Short RF Model,UNI_USDT,544,1441.52,2556.62,1115.1,48.5,0.35,0.065,0.186,-12.99,1.09,B_New
B_OU Mean-Reversion Entry,BNB_USDT,1,6.91,7.21,0.3,100.0,0.343,0.0,0.0,0.0,inf,B_New
B_OU Mean-Reversion Entry,ETH_USDT,1,8.5,10.09,1.59,100.0,0.339,0.0,0.0,0.0,inf,B_New
A_Ensemble A (RSI+MACD+BB),DOGE_USDT,3564,1533.37,4740.59,3207.22,40.8,0.339,0.149,0.099,-21.25,1.04,A_Original
B_OFI Momentum,AVAX_USDT,1737,1599.3,3834.62,2235.32,44.7,0.338,0.111,0.19,-14.1,1.05,B_New
B_Base RF Model,UNI_USDT,789,1392.58,2843.75,1451.17,47.8,0.335,0.065,0.23,-10.16,1.07,B_New
B_MACD Centerline Cross + Divergence,ADA_USDT,3261,1825.54,5250.25,3424.71,47.8,0.334,0.097,0.097,-21.61,1.04,B_New
B_Keltner Channel Breakout,LINK_USDT,925,1819.38,3459.95,1640.57,48.4,0.329,0.07,0.218,-10.63,1.07,B_New
B_Keltner Channel Breakout,ICP_USDT,617,1251.68,2937.34,1685.66,44.9,0.327,0.073,0.153,-15.63,1.08,B_New
A_Bollinger Band Reversion,SHIB_USDT,693,776.66,1198.23,421.57,64.6,0.323,0.041,0.165,-9.17,1.08,A_Original
B_Base RF Model,LTC_USDT,1342,1789.8,3811.76,2021.96,45.7,0.322,0.07,0.103,-19.28,1.06,B_New
B_MTF SMA-200 Filter,XRP_USDT,3482,2244.04,6547.58,4303.54,34.2,0.312,0.138,0.104,-24.62,1.04,B_New
B_MTF SMA-200 Filter,DOT_USDT,2308,1486.4,5457.43,3971.03,38.4,0.309,0.131,0.141,-17.35,1.04,B_New
B_Elliott Wave + Base ML,SUI_USDT,155,456.25,983.93,527.68,47.1,0.299,0.042,0.165,-9.04,1.11,B_New
B_Trend RF Model,ADA_USDT,757,1443.44,2822.45,1379.01,48.3,0.296,0.046,0.087,-19.51,1.07,B_New
B_Futures Short RF Model,TRX_USDT,933,1324.38,3119.58,1795.2,49.2,0.29,0.051,0.156,-10.2,1.08,B_New
"B_SuperTrend (ATR×3, 10)",LTC_USDT,899,1246.23,2428.02,1181.79,39.8,0.289,0.075,0.06,-23.38,1.07,B_New
B_Trend RF Model,LINK_USDT,725,1351.3,2735.23,1383.93,50.6,0.287,0.048,0.106,-16.55,1.06,B_New
A_RSI Mean Reversion,DOGE_USDT,106,360.03,510.33,150.29,56.6,0.285,0.015,0.188,-2.76,1.21,A_Original
B_Futures Short RF Model,XRP_USDT,744,1495.65,2793.74,1298.09,44.4,0.284,0.054,0.142,-12.34,1.08,B_New
B_Keltner Channel Breakout,DOT_USDT,720,1133.76,2865.49,1731.73,47.6,0.283,0.056,0.172,-11.06,1.06,B_New
B_MACD Centerline Cross + Divergence,LINK_USDT,2980,1463.07,4466.63,3003.56,48.0,0.276,0.101,0.087,-21.65,1.04,B_New
A_RSI Mean Reversion,APT_USDT,60,251.47,508.11,256.64,63.3,0.269,0.014,0.086,-8.21,1.17,A_Original
B_Trend RF Model,AVAX_USDT,664,1048.84,2662.44,1613.61,48.2,0.265,0.048,0.159,-11.24,1.06,B_New
A_RSI Mean Reversion,ATOM_USDT,121,380.58,642.18,261.6,52.1,0.256,0.021,0.15,-3.56,1.16,A_Original
B_MACD Centerline Cross + Divergence,BTC_USDT,3462,930.34,3930.27,2999.93,47.0,0.253,0.079,0.047,-21.77,1.04,B_New
A_Bollinger Band Reversion,NEAR_USDT,782,887.72,2178.99,1291.28,62.5,0.247,0.033,0.119,-12.93,1.05,A_Original
B_Futures Short RF Model,ICP_USDT,438,780.36,2184.37,1404.0,46.8,0.246,0.045,0.085,-17.95,1.06,B_New
B_VWAP Reversion,SOL_USDT,2512,894.42,3396.94,2502.52,61.0,0.238,0.054,0.083,-18.19,1.03,B_New
B_MACD Centerline Cross + Divergence,SHIB_USDT,2120,733.35,2122.77,1389.42,47.5,0.237,0.08,0.141,-10.13,1.03,B_New
A_Bollinger Band Reversion,XRP_USDT,1084,817.13,2145.73,1328.6,64.4,0.234,0.028,0.071,-13.82,1.05,A_Original
B_Donchian Breakout,XRP_USDT,442,907.72,1655.7,747.99,42.5,0.232,0.045,0.116,-9.4,1.1,B_New
B_OFI Momentum,ADA_USDT,2395,1185.96,3874.51,2688.55,43.8,0.23,0.063,0.058,-24.08,1.03,B_New
B_Trend RF Model,BTC_USDT,1252,1015.8,2773.42,1757.62,43.9,0.23,0.049,0.074,-15.15,1.05,B_New
B_Donchian Breakout,AVAX_USDT,464,839.17,2009.43,1170.26,46.6,0.229,0.042,0.09,-16.13,1.05,B_New
B_MTF SMA-200 Filter,DOGE_USDT,3103,1539.96,5357.77,3817.81,33.9,0.227,0.114,0.078,-27.25,1.03,B_New
B_MTF SMA-200 Filter,LINK_USDT,3110,1361.97,5473.06,4111.09,36.7,0.222,0.095,0.068,-26.01,1.02,B_New
B_Ichimoku Cloud,TRX_USDT,1560,1121.94,4257.19,3135.26,37.9,0.22,0.071,0.062,-21.76,1.04,B_New
B_Ichimoku Cloud,ICP_USDT,1001,879.48,3333.26,2453.77,39.0,0.218,0.071,0.132,-12.87,1.03,B_New
B_Donchian Breakout,LINK_USDT,574,846.28,1846.2,999.92,47.9,0.211,0.035,0.075,-14.96,1.05,B_New
B_Futures Short RF Model,ETH_USDT,815,783.03,1820.62,1037.59,52.0,0.208,0.032,0.058,-14.95,1.05,B_New
"B_SuperTrend (ATR×3, 10)",TRX_USDT,927,711.37,2324.27,1612.9,37.5,0.206,0.051,0.049,-17.95,1.05,B_New
A_RSI Mean Reversion,NEAR_USDT,103,305.54,500.36,194.82,52.4,0.203,0.011,0.141,-3.84,1.13,A_Original
B_MACD Centerline Cross + Divergence,SUI_USDT,1222,368.88,1807.32,1438.44,46.9,0.198,0.073,0.075,-16.16,1.02,B_New
B_Ornstein-Uhlenbeck Filter,ICP_USDT,2534,628.29,3408.9,2780.61,53.7,0.197,0.06,0.059,-20.77,1.02,B_New
"B_SuperTrend (ATR×3, 10)",LINK_USDT,813,742.72,1923.0,1180.28,42.3,0.194,0.05,0.065,-15.26,1.04,B_New
B_Ichimoku Cloud,SOL_USDT,1147,879.06,2972.6,2093.54,39.8,0.193,0.064,0.082,-18.15,1.03,B_New
B_Trend RF Model,XRP_USDT,710,855.95,1880.48,1024.53,45.5,0.184,0.025,0.082,-12.62,1.05,B_New
B_MTF SMA-200 Filter,BNB_USDT,3491,1077.97,4118.93,3040.96,35.8,0.173,0.066,0.07,-17.26,1.02,B_New
B_OFI Momentum,DOGE_USDT,2059,880.14,2909.51,2029.37,42.6,0.172,0.067,0.062,-20.09,1.03,B_New
A_MACD Momentum,DOT_USDT,2324,582.84,3114.44,2531.61,39.3,0.17,0.078,0.074,-13.54,1.02,A_Original
B_Ensemble B (VWAP+Don+Kelt+Fund+OFI),SOL_USDT,3602,608.2,3615.53,3007.32,53.5,0.167,0.052,0.076,-13.56,1.01,B_New
"B_SuperTrend (ATR×3, 10)",SUI_USDT,372,278.29,1068.76,790.48,39.5,0.165,0.048,0.087,-10.49,1.03,B_New
B_Volatility Breakout (TTM Squeeze),HBAR_USDT,375,768.87,1375.71,606.84,46.4,0.163,0.04,0.078,-14.4,1.08,B_New
B_Donchian Breakout,HBAR_USDT,566,559.45,1661.66,1102.21,44.5,0.157,0.03,0.043,-19.35,1.04,B_New
B_Futures Short RF Model,BTC_USDT,857,481.98,1644.74,1162.76,50.3,0.154,0.023,0.033,-16.34,1.04,B_New
B_MTF SMA-200 Filter,SOL_USDT,2420,645.98,3862.03,3216.05,37.2,0.153,0.058,0.047,-23.42,1.01,B_New
B_MACD Centerline Cross + Divergence,ETH_USDT,3456,604.29,3754.27,3149.98,46.4,0.152,0.047,0.022,-30.68,1.02,B_New
B_Ichimoku Cloud,LINK_USDT,1447,702.11,3118.26,2416.14,40.8,0.147,0.047,0.037,-25.49,1.02,B_New
"B_SuperTrend (ATR×3, 10)",XRP_USDT,821,489.75,1490.64,1000.89,37.9,0.138,0.031,0.029,-20.69,1.03,B_New
B_GARCH Volatility Position Sizing,ICP_USDT,521,411.02,1983.24,1572.21,44.0,0.134,0.03,0.051,-16.02,1.03,B_New
A_MACD Momentum,ADA_USDT,3299,579.11,3664.88,3085.76,37.7,0.131,0.051,0.034,-20.73,1.01,A_Original
B_Keltner Channel Breakout,TRX_USDT,1091,488.93,2789.86,2300.94,42.0,0.13,0.03,0.033,-18.49,1.02,B_New
B_Donchian Breakout,BTC_USDT,546,353.53,1182.86,829.32,46.5,0.122,0.018,0.029,-13.97,1.04,B_New
B_Donchian Breakout,DOT_USDT,461,322.38,1331.26,1008.87,45.1,0.121,0.021,0.033,-17.07,1.03,B_New
B_GARCH Volatility Position Sizing,DOT_USDT,629,378.13,1929.31,1551.18,48.5,0.12,0.022,0.025,-25.86,1.02,B_New
A_RSI Mean Reversion,LTC_USDT,153,228.13,409.66,181.53,52.9,0.119,0.007,0.043,-6.32,1.07,A_Original
B_MTF SMA-200 Filter,AVAX_USDT,2399,320.85,3881.33,3560.47,35.6,0.106,0.045,0.022,-25.45,1.01,B_New
B_Trend RF Model,ATOM_USDT,557,324.59,1366.89,1042.3,48.8,0.105,0.016,0.03,-15.4,1.02,B_New
B_Donchian Breakout,ICP_USDT,380,237.28,1193.51,956.23,44.2,0.105,0.016,0.032,-14.57,1.02,B_New
A_RSI Mean Reversion,DOT_USDT,101,169.48,376.0,206.51,58.4,0.102,0.005,0.047,-6.29,1.07,A_Original
B_Volatility Breakout (TTM Squeeze),UNI_USDT,362,231.6,798.36,566.76,44.8,0.102,0.012,0.034,-11.92,1.03,B_New
B_Elliott Wave + Base ML,UNI_USDT,361,242.18,948.82,706.65,46.0,0.098,0.014,0.037,-11.43,1.02,B_New
B_OFI Momentum,SOL_USDT,1780,275.67,2251.07,1975.41,45.3,0.098,0.028,0.018,-26.45,1.01,B_New
B_MTF SMA-200 Filter,NEAR_USDT,2408,265.85,3480.64,3214.79,37.0,0.098,0.042,0.019,-24.73,1.01,B_New
B_OFI Momentum,XRP_USDT,2397,339.5,2488.51,2149.01,43.2,0.096,0.028,0.024,-17.6,1.01,B_New
B_Ichimoku Cloud,HBAR_USDT,1320,295.87,2393.7,2097.83,38.6,0.096,0.044,0.013,-34.6,1.01,B_New
B_Donchian Breakout,ADA_USDT,590,313.85,1271.44,957.58,47.3,0.093,0.015,0.025,-15.69,1.02,B_New
A_Bollinger Band Reversion,ADA_USDT,1114,285.53,1576.83,1291.3,63.5,0.093,0.012,0.04,-8.67,1.02,A_Original
A_Bollinger Band Reversion,LINK_USDT,1012,273.33,1499.04,1225.71,63.6,0.091,0.012,0.027,-13.46,1.01,A_Original
